Slice #,Xd,Yd,Xt,Yt
104,170.49356223176,201.359494171535,212.638997268826,153.126706984003
105,170.49356223176,199.948251994933,212.650560708847,152.599335456182
106,170.49356223176,199.463823964853,211.104209020405,150.517656802952
107,170.49356223176,198.516368339756,212.543264571508,151.01412155614
108,170.49356223176,200.734060577555,213.583690987125,152.156652360515
109,170.49356223176,202.466058076206,213.845212787293,152.741566724159
110,170.49356223176,203.925103822041,212.958071970947,154.103561406405
111,170.49356223176,204.799197216447,213.535820402773,156.382056784417
112,170.49356223176,206.913788956649,212.920369139011,156.935461121522
113,170.49356223176,204.346581221706,212.009884838716,156.219777445478
114,170.49356223176,201.857839967076,212.426754463323,154.727889156721
115,170.49356223176,202.215174853954,211.925538379733,153.032777545672
116,170.49356223176,200.381060294283,211.51317084695,151.510020868607
117,170.49356223176,201.449740511708,211.460225571414,151.05998602655
118,170.49356223176,200.492049663547,211.861145017128,151.368764027247
119,170.49356223176,200.055243480724,212.234187171072,150.710776222011
120,170.49356223176,199.750789688881,212.621927428794,151.910795326201
121,170.49356223176,200.255586614573,212.99381175766,152.359516917856
122,170.49356223176,201.876861982159,213.843161463539,152.467811158799
123,170.49356223176,202.864750746931,212.628399406057,154.66051705551
124,170.49356223176,203.514021988359,213.044871142933,155.568211866648
125,170.49356223176,203.315512108563,212.688014332401,154.652124266646
126,170.49356223176,202.307890475096,212.950047687172,153.806529168654
127,170.49356223176,201.272150038215,212.43995353782,153.253337008308
128,170.49356223176,200.040502621607,213.371718148663,152.34792157811
129,170.49356223176,200.905274747593,212.644054999205,151.661103163249
130,170.49356223176,201.152854905692,213.35121602289,152.192417739628
131,170.49356223176,199.428911966392,213.724334562453,153.109573031897
132,170.49356223176,202.543022677834,213.346641381375,152.887014672123
133,170.49356223176,203.099637090524,213.259517564775,154.109044666985
134,170.49356223176,201.796524834446,213.219290930171,153.941480381588
135,170.49356223176,201.283459558843,212.672596275222,152.814460217894
136,170.49356223176,200.089578244672,213.144770306788,152.370449848991
137,170.49356223176,199.860266489933,213.221653052748,153.222345285892
138,170.49356223176,198.630500430253,212.777591841556,150.659034531638
139,170.49356223176,198.826909817797,213.553924961927,151.467534265541
140,170.49356223176,200.459393155495,213.116062892826,152.60663507109
141,170.49356223176,201.325731297334,213.957522762825,152.387088363885
142,170.49356223176,202.553557207681,213.724334562453,153.758387233271
143,170.49356223176,203.095895755723,213.775489249851,155.464915703226
144,170.49356223176,202.955275014832,212.44390224783,153.843063476199
145,170.49356223176,201.608373107285,213.108339567665,153.380812694413
146,170.49356223176,201.845750110904,212.945202693082,153.528568232207
147,170.49356223176,201.418783638608,212.665958044202,152.362520556737
148,170.49356223176,200.334469986478,211.951405233283,151.515990585629
149,170.49356223176,199.535368975783,212.641802172117,151.755526002942
150,170.49356223176,198.722676230231,212.496133472528,149.947318563198
151,170.49356223176,197.940459329018,213.431069752517,151.011291163612
152,170.49356223176,198.512723210707,213.489819579765,151.602831397596
153,170.49356223176,200.066985927236,213.70695441694,151.61351016008
154,170.49356223176,202.271337634087,213.387374992299,152.956547631271
155,170.49356223176,202.478693098306,213.12488665901,154.319047331198
156,170.49356223176,202.218397746648,213.105599361214,153.686994710051
157,170.49356223176,200.94076932533,212.402055360869,152.791668307281
158,170.49356223176,200.947680105185,213.022627899011,152.778113602934
159,170.49356223176,202.06624300504,212.779665395009,152.68339691623
160,170.49356223176,199.316923126259,212.856163567,151.118661580035
161,170.49356223176,198.891886113769,213.212960984988,150.788942186317
162,170.49356223176,198.594701200968,213.707819821239,151.623715399457
163,170.49356223176,198.81363876878,213.223236699328,150.558243582476
164,170.49356223176,198.250835119375,214.611089640583,150.894473486158
165,170.49356223176,200.582905306816,214.50927200583,152.43592598591
166,170.49356223176,200.941180872158,213.596993766143,152.743091293963
167,170.49356223176,202.769667395336,214.111948979183,154.289338574466
168,170.49356223176,202.607902768053,214.358358928463,155.390232491915
169,170.49356223176,204.609142753302,213.234197747285,156.1984928167
170,170.49356223176,205.317110192999,213.264808940308,157.246376811594
171,170.49356223176,204.831891137847,212.197147999446,157.794545202824
172,170.49356223176,204.468505978118,212.212564476119,155.623695712092
173,170.49356223176,201.833077675455,212.772142021069,154.516191962544
174,170.49356223176,201.218755845836,212.714342748777,153.131550054896
175,170.49356223176,200.645342839887,212.015670226569,150.745583391556
176,170.49356223176,200.472717652152,213.293991416309,152.174535050072
177,170.49356223176,201.856391536032,213.449975706535,153.484593894243
178,170.49356223176,203.738090529613,212.934376297937,154.949466980479
179,170.49356223176,206.064500611975,213.446432909547,156.935278160175
180,170.49356223176,208.362978957664,212.847090527997,158.668529793393
